approach,aspect,accuracy,precision,recall,f1,mse,threshold,tp,tn,fp,fn,eval_split,specificity,balanced_accuracy,mcc
distilbert-base-uncased,exam_fairness,0.951926475786497,0.6237113402061856,0.657608695652174,0.6402116402116402,0.6901847880995955,0.65,121,2572,73,63,real_herath_mapped,0.9724007561436673,0.8150047258979206,0.6147204201457012
distilbert-base-uncased,grading_transparency,0.951219512195122,0.6428571428571429,0.1232876712328767,0.2068965517241379,0.4401527621472875,0.6,18,2673,10,128,real_herath_mapped,0.9962728289228475,0.5597802500778621,0.2672015156687685
distilbert-base-uncased,lecturer_quality,0.4697773064687168,0.896551724137931,0.3561643835616438,0.5098039215686274,0.2798881168185173,0.7,780,549,90,1410,real_herath_mapped,0.8591549295774648,0.6076596565695542,0.1951095952348396
distilbert-base-uncased,materials,0.865323435843054,0.68,0.0435897435897435,0.0819277108433735,0.5459947060136234,0.7999999999999999,17,2431,8,373,real_herath_mapped,0.996719967199672,0.5201548553947078,0.14848715179501665
distilbert-base-uncased,organization,0.8275008837044893,0.456,0.1194968553459119,0.1893687707641196,0.1281160599033332,0.7,57,2284,68,420,real_herath_mapped,0.9710884353741497,0.5452926453600309,0.1650354267625037
distilbert-base-uncased,overall_experience,0.2799575821845175,0.2023330651649235,0.9030520646319568,0.3305948077555044,0.4883828347516267,0.3999999999999999,503,289,1983,54,real_herath_mapped,0.12720070422535212,0.5151263844286544,0.03685524207864808
distilbert-base-uncased,workload,0.9780841286673736,0.9333333333333332,0.1866666666666666,0.3111111111111111,0.5878027891740203,0.75,14,2753,1,61,real_herath_mapped,0.9996368917937546,0.5931517792302107,0.4121222609264016
bert-base-uncased,accessibility,0.5903790087463557,0.1960132890365448,0.6020408163265306,0.2957393483709273,0.6147979158832656,0.4499999999999999,59,346,242,39,synthetic_overlap_test,0.5884353741496599,0.5952380952380952,0.13431632013581724
bert-base-uncased,assessment_design,0.8950437317784257,0.676923076923077,0.4631578947368421,0.55,0.3713280408965974,0.7999999999999999,44,570,21,51,synthetic_overlap_test,0.9644670050761421,0.7138124499064922,0.5043314483805168
bert-base-uncased,exam_fairness,0.892128279883382,0.8548387096774194,0.4491525423728814,0.5888888888888889,0.5744987418809203,0.65,53,559,9,65,synthetic_overlap_test,0.9841549295774648,0.716653735975173,0.5703260516763992
bert-base-uncased,grading_transparency,0.8731778425655977,0.6507936507936508,0.3867924528301887,0.4852071005917159,0.5752817444139864,0.6,41,558,22,65,synthetic_overlap_test,0.9620689655172414,0.6744307091737151,0.4366219586359218
bert-base-uncased,lecturer_quality,0.7988338192419825,0.3880597014925373,0.4814814814814814,0.4297520661157025,0.4973360418595033,0.7999999999999999,52,496,82,56,synthetic_overlap_test,0.8581314878892734,0.6698064846853774,0.31198816944028646
bert-base-uncased,materials,0.8994169096209913,0.6271186440677966,0.4404761904761904,0.5174825174825175,0.376670844500532,0.5499999999999999,37,580,22,47,synthetic_overlap_test,0.9634551495016611,0.7019656699889258,0.47226489329651605
bert-base-uncased,organization,0.8571428571428571,0.5679012345679012,0.4220183486238532,0.4842105263157895,0.3016130583558191,0.7,46,542,35,63,synthetic_overlap_test,0.9393414211438474,0.6806798848838503,0.4093744742999458
bert-base-uncased,overall_experience,0.4606413994169096,0.1830985915492957,0.78,0.2965779467680608,0.6774849424139412,0.3999999999999999,78,238,348,22,synthetic_overlap_test,0.4061433447098976,0.5930716723549488,0.13539569245893757
bert-base-uncased,workload,0.8935860058309038,0.7213114754098361,0.44,0.546583850931677,0.4888083680363541,0.7999999999999999,44,569,17,56,synthetic_overlap_test,0.9709897610921502,0.7054948805460751,0.5095360128174045
bert-base-uncased,accessibility,0.5319901025097208,0.0186706497386109,0.7142857142857143,0.0363901018922852,0.5062586216558702,0.4499999999999999,25,1480,1314,10,real_herath_mapped,0.5297065139584825,0.6219961141220984,0.054018160828633144
bert-base-uncased,assessment_design,0.9013785790031812,0.3450704225352112,0.2085106382978723,0.259946949602122,0.3264714980958494,0.7999999999999999,49,2501,93,186,real_herath_mapped,0.964148033924441,0.5863293361111567,0.21823746502520314
bert-base-uncased,exam_fairness,0.9508660303994344,0.6130653266331658,0.6630434782608695,0.6370757180156658,0.3663504945809526,0.65,122,2568,77,62,real_herath_mapped,0.9708884688090738,0.8169659735349717,0.6113078544225297
bert-base-uncased,grading_transparency,0.9243548957228702,0.1792452830188679,0.1301369863013698,0.1507936507936507,0.4165058040403221,0.6,19,2596,87,127,real_herath_mapped,0.9675736116287738,0.5488552989650718,0.1138286753351012
bert-base-uncased,lecturer_quality,0.6055143160127253,0.9268680445151032,0.5324200913242009,0.6763341067285383,0.3305924766273742,0.7999999999999999,1166,547,92,1024,real_herath_mapped,0.8560250391236307,0.6942225652239158,0.32686901545780717
bert-base-uncased,materials,0.8603746907034288,0.4074074074074074,0.0282051282051282,0.052757793764988,0.5921318446370688,0.5499999999999999,11,2423,16,379,real_herath_mapped,0.993439934399344,0.5108225313022361,0.0767504803775374
