approach,aspect,polarity,gold,detected,missed,recall,miss_rate,sentiment_match_rate_given_detected,sentiment_mismatch_rate_given_detected
openai-gpt-5.4-zero-shot-glossary,tooling_usability,positive,34,20,14,0.5882352941176471,0.4117647058823529,0.5,0.5
openai-gpt-5.4-zero-shot-glossary,workload,negative,28,23,5,0.8214285714285714,0.17857142857142858,0.9565217391304348,0.043478260869565216
openai-gpt-5.4-zero-shot-glossary,workload,neutral,36,11,25,0.3055555555555556,0.6944444444444444,0.0,1.0
openai-gpt-5.4-zero-shot-glossary,workload,positive,40,21,19,0.525,0.475,0.47619047619047616,0.5238095238095238
roberta-base,accessibility,negative,25,25,0,1.0,0.0,0.0,1.0
roberta-base,accessibility,neutral,27,27,0,1.0,0.0,1.0,0.0
roberta-base,accessibility,positive,40,40,0,1.0,0.0,0.0,1.0
roberta-base,assessment_design,negative,40,40,0,1.0,0.0,0.0,1.0
roberta-base,assessment_design,neutral,33,33,0,1.0,0.0,1.0,0.0
roberta-base,assessment_design,positive,36,36,0,1.0,0.0,0.0,1.0
roberta-base,clarity,negative,32,32,0,1.0,0.0,0.0,1.0
roberta-base,clarity,neutral,29,29,0,1.0,0.0,1.0,0.0
roberta-base,clarity,positive,38,38,0,1.0,0.0,0.0,1.0
roberta-base,difficulty,negative,26,26,0,1.0,0.0,0.0,1.0
roberta-base,difficulty,neutral,34,34,0,1.0,0.0,1.0,0.0
roberta-base,difficulty,positive,35,35,0,1.0,0.0,0.0,1.0
roberta-base,exam_fairness,negative,32,32,0,1.0,0.0,0.0,1.0
roberta-base,exam_fairness,neutral,34,34,0,1.0,0.0,1.0,0.0
roberta-base,exam_fairness,positive,36,36,0,1.0,0.0,0.0,1.0
roberta-base,feedback_quality,negative,26,26,0,1.0,0.0,0.0,1.0
roberta-base,feedback_quality,neutral,30,30,0,1.0,0.0,1.0,0.0
roberta-base,feedback_quality,positive,26,26,0,1.0,0.0,0.0,1.0
roberta-base,grading_transparency,negative,33,33,0,1.0,0.0,0.0,1.0
roberta-base,grading_transparency,neutral,35,35,0,1.0,0.0,1.0,0.0
roberta-base,grading_transparency,positive,40,40,0,1.0,0.0,0.0,1.0
roberta-base,interest,negative,29,29,0,1.0,0.0,0.0,1.0
roberta-base,interest,neutral,32,32,0,1.0,0.0,1.0,0.0
roberta-base,interest,positive,29,29,0,1.0,0.0,0.0,1.0
roberta-base,lecturer_quality,negative,35,35,0,1.0,0.0,0.0,1.0
roberta-base,lecturer_quality,neutral,27,27,0,1.0,0.0,1.0,0.0
roberta-base,lecturer_quality,positive,39,39,0,1.0,0.0,0.0,1.0
roberta-base,materials,negative,33,33,0,1.0,0.0,0.0,1.0
roberta-base,materials,neutral,28,28,0,1.0,0.0,1.0,0.0
roberta-base,materials,positive,33,33,0,1.0,0.0,0.0,1.0
roberta-base,organization,negative,39,39,0,1.0,0.0,0.0,1.0
roberta-base,organization,neutral,32,32,0,1.0,0.0,1.0,0.0
roberta-base,organization,positive,35,35,0,1.0,0.0,0.0,1.0
roberta-base,overall_experience,negative,43,43,0,1.0,0.0,0.0,1.0
roberta-base,overall_experience,neutral,38,38,0,1.0,0.0,1.0,0.0
roberta-base,overall_experience,positive,36,36,0,1.0,0.0,0.0,1.0
roberta-base,pacing,negative,29,29,0,1.0,0.0,0.0,1.0
roberta-base,pacing,neutral,35,35,0,1.0,0.0,1.0,0.0
roberta-base,pacing,positive,42,42,0,1.0,0.0,0.0,1.0
roberta-base,peer_interaction,negative,31,31,0,1.0,0.0,0.0,1.0
roberta-base,peer_interaction,neutral,36,36,0,1.0,0.0,1.0,0.0
roberta-base,peer_interaction,positive,40,40,0,1.0,0.0,0.0,1.0
roberta-base,practical_application,negative,28,28,0,1.0,0.0,0.0,1.0
roberta-base,practical_application,neutral,34,34,0,1.0,0.0,1.0,0.0
roberta-base,practical_application,positive,34,34,0,1.0,0.0,0.0,1.0
roberta-base,prerequisite_fit,negative,32,32,0,1.0,0.0,0.0,1.0
roberta-base,prerequisite_fit,neutral,31,31,0,1.0,0.0,1.0,0.0
roberta-base,prerequisite_fit,positive,34,34,0,1.0,0.0,0.0,1.0
roberta-base,relevance,negative,30,30,0,1.0,0.0,0.0,1.0
roberta-base,relevance,neutral,41,41,0,1.0,0.0,1.0,0.0
roberta-base,relevance,positive,34,34,0,1.0,0.0,0.0,1.0
roberta-base,support,negative,41,41,0,1.0,0.0,0.0,1.0
roberta-base,support,neutral,26,26,0,1.0,0.0,1.0,0.0
roberta-base,support,positive,29,29,0,1.0,0.0,0.0,1.0
roberta-base,tooling_usability,negative,40,40,0,1.0,0.0,0.0,1.0
roberta-base,tooling_usability,neutral,33,33,0,1.0,0.0,1.0,0.0
roberta-base,tooling_usability,positive,34,34,0,1.0,0.0,0.0,1.0
roberta-base,workload,negative,28,28,0,1.0,0.0,0.0,1.0
roberta-base,workload,neutral,36,36,0,1.0,0.0,1.0,0.0
roberta-base,workload,positive,40,40,0,1.0,0.0,0.0,1.0
tfidf_two_step,accessibility,negative,44,20,24,0.45454545454545453,0.5454545454545454,0.0,1.0
tfidf_two_step,accessibility,neutral,38,15,23,0.39473684210526316,0.6052631578947368,1.0,0.0
tfidf_two_step,accessibility,positive,35,15,20,0.42857142857142855,0.5714285714285714,0.0,1.0
tfidf_two_step,assessment_design,negative,28,13,15,0.4642857142857143,0.5357142857142857,0.0,1.0
tfidf_two_step,assessment_design,neutral,32,4,28,0.125,0.875,1.0,0.0
tfidf_two_step,assessment_design,positive,25,9,16,0.36,0.64,0.0,1.0
tfidf_two_step,clarity,negative,36,3,33,0.08333333333333333,0.9166666666666666,0.0,1.0
tfidf_two_step,clarity,neutral,26,3,23,0.11538461538461539,0.8846153846153846,1.0,0.0
tfidf_two_step,clarity,positive,31,10,21,0.3225806451612903,0.6774193548387096,0.0,1.0
tfidf_two_step,difficulty,negative,32,14,18,0.4375,0.5625,0.0,1.0
tfidf_two_step,difficulty,neutral,41,11,30,0.2682926829268293,0.7317073170731707,1.0,0.0
tfidf_two_step,difficulty,positive,31,15,16,0.4838709677419355,0.5161290322580645,0.0,1.0
tfidf_two_step,exam_fairness,negative,35,17,18,0.4857142857142857,0.5142857142857142,0.0,1.0
tfidf_two_step,exam_fairness,neutral,38,7,31,0.18421052631578946,0.8157894736842105,1.0,0.0
tfidf_two_step,exam_fairness,positive,42,23,19,0.5476190476190477,0.4523809523809524,0.043478260869565216,0.9565217391304348
tfidf_two_step,feedback_quality,negative,28,18,10,0.6428571428571429,0.35714285714285715,0.0,1.0
tfidf_two_step,feedback_quality,neutral,28,12,16,0.42857142857142855,0.5714285714285714,1.0,0.0
tfidf_two_step,feedback_quality,positive,34,12,22,0.35294117647058826,0.6470588235294118,0.0,1.0
tfidf_two_step,grading_transparency,negative,35,17,18,0.4857142857142857,0.5142857142857142,0.0,1.0
tfidf_two_step,grading_transparency,neutral,31,8,23,0.25806451612903225,0.7419354838709677,1.0,0.0
tfidf_two_step,grading_transparency,positive,39,15,24,0.38461538461538464,0.6153846153846154,0.0,1.0
tfidf_two_step,interest,negative,28,18,10,0.6428571428571429,0.35714285714285715,0.0,1.0
tfidf_two_step,interest,neutral,33,13,20,0.3939393939393939,0.6060606060606061,1.0,0.0
tfidf_two_step,interest,positive,40,21,19,0.525,0.475,0.0,1.0
tfidf_two_step,lecturer_quality,negative,37,7,30,0.1891891891891892,0.8108108108108109,0.0,1.0
tfidf_two_step,lecturer_quality,neutral,36,3,33,0.08333333333333333,0.9166666666666666,1.0,0.0
tfidf_two_step,lecturer_quality,positive,28,6,22,0.21428571428571427,0.7857142857142857,0.16666666666666666,0.8333333333333334
tfidf_two_step,materials,negative,36,14,22,0.3888888888888889,0.6111111111111112,0.0,1.0
tfidf_two_step,materials,neutral,33,8,25,0.24242424242424243,0.7575757575757576,1.0,0.0
tfidf_two_step,materials,positive,41,21,20,0.5121951219512195,0.4878048780487805,0.0,1.0
tfidf_two_step,organization,negative,37,9,28,0.24324324324324326,0.7567567567567568,0.0,1.0
tfidf_two_step,organization,neutral,29,2,27,0.06896551724137931,0.9310344827586207,1.0,0.0
tfidf_two_step,organization,positive,27,8,19,0.2962962962962963,0.7037037037037037,0.0,1.0
tfidf_two_step,overall_experience,negative,38,13,25,0.34210526315789475,0.6578947368421053,0.0,1.0
tfidf_two_step,overall_experience,neutral,34,13,21,0.38235294117647056,0.6176470588235294,1.0,0.0
tfidf_two_step,overall_experience,positive,28,12,16,0.42857142857142855,0.5714285714285714,0.0,1.0
tfidf_two_step,pacing,negative,29,17,12,0.5862068965517241,0.41379310344827586,0.0,1.0
tfidf_two_step,pacing,neutral,29,11,18,0.3793103448275862,0.6206896551724138,1.0,0.0
tfidf_two_step,pacing,positive,30,17,13,0.5666666666666667,0.43333333333333335,0.0,1.0
tfidf_two_step,peer_interaction,negative,38,17,21,0.4473684210526316,0.5526315789473685,0.0,1.0
tfidf_two_step,peer_interaction,neutral,41,10,31,0.24390243902439024,0.7560975609756098,1.0,0.0
tfidf_two_step,peer_interaction,positive,36,19,17,0.5277777777777778,0.4722222222222222,0.0,1.0
tfidf_two_step,practical_application,negative,30,6,24,0.2,0.8,0.0,1.0
tfidf_two_step,practical_application,neutral,29,0,29,0.0,1.0,,
tfidf_two_step,practical_application,positive,37,12,25,0.32432432432432434,0.6756756756756757,0.0,1.0
tfidf_two_step,prerequisite_fit,negative,37,16,21,0.43243243243243246,0.5675675675675675,0.0,1.0
tfidf_two_step,prerequisite_fit,neutral,28,11,17,0.39285714285714285,0.6071428571428571,1.0,0.0
tfidf_two_step,prerequisite_fit,positive,38,13,25,0.34210526315789475,0.6578947368421053,0.0,1.0
tfidf_two_step,relevance,negative,23,13,10,0.5652173913043478,0.43478260869565216,0.0,1.0
tfidf_two_step,relevance,neutral,28,6,22,0.21428571428571427,0.7857142857142857,1.0,0.0
tfidf_two_step,relevance,positive,31,15,16,0.4838709677419355,0.5161290322580645,0.0,1.0
tfidf_two_step,support,negative,39,39,0,1.0,0.0,0.0,1.0
tfidf_two_step,support,neutral,26,26,0,1.0,0.0,1.0,0.0
tfidf_two_step,support,positive,31,31,0,1.0,0.0,0.0,1.0
tfidf_two_step,tooling_usability,negative,39,15,24,0.38461538461538464,0.6153846153846154,0.0,1.0
tfidf_two_step,tooling_usability,neutral,28,5,23,0.17857142857142858,0.8214285714285714,1.0,0.0
tfidf_two_step,tooling_usability,positive,44,11,33,0.25,0.75,0.0,1.0
tfidf_two_step,workload,negative,26,17,9,0.6538461538461539,0.34615384615384615,0.0,1.0
tfidf_two_step,workload,neutral,21,8,13,0.38095238095238093,0.6190476190476191,1.0,0.0
tfidf_two_step,workload,positive,32,25,7,0.78125,0.21875,0.0,1.0
