bucket,seed,arch,target,micro_f1,macro_f1,macro_balanced_accuracy,sentiment_mse_detected,n_overlap_aspects
top25,89,bert-base-uncased,edurabsa,0.33533979690300053,0.24769822797049576,0.5065082139342975,0.6017337853322708,7
top25,89,distilbert-base-uncased,herath,0.38454509855110297,0.2416993503786844,0.5793272359769979,0.41626807017112993,9
top25,89,distilbert-base-uncased,edurabsa,0.3552732136033626,0.24810469919527361,0.5083021614337085,0.6913500949764103,7
top25,101,bert-base-uncased,herath,0.41294084976395445,0.21719912027283172,0.5792790447724641,0.38727184561893824,9
top25,101,bert-base-uncased,edurabsa,0.39246609291217954,0.28107200192780174,0.5370229193644919,0.3874027109542433,7
top25,101,distilbert-base-uncased,herath,0.30554621848739494,0.18460936326660563,0.5569685737381965,0.3970791930099533,9
top25,101,distilbert-base-uncased,edurabsa,0.4248415333534561,0.2941610518402476,0.5273595987306386,0.5185059494819091,7
top25,137,bert-base-uncased,herath,0.29258849557522126,0.23097971428894848,0.566208668369431,0.3923558812246929,9
top25,137,bert-base-uncased,edurabsa,0.4538533834586466,0.2910916931120749,0.5370388212288273,0.4729037148191332,7
top25,137,distilbert-base-uncased,herath,0.2488238369053842,0.2096623819892295,0.5651657038571457,0.40016685840839394,9
top25,137,distilbert-base-uncased,edurabsa,0.3246471226927253,0.23441959214986616,0.5048447468226837,0.5063642046494566,7
top50,42,bert-base-uncased,herath,0.38271604938271603,0.24403962821491815,0.5753772718616387,0.33133157083740905,9
top50,42,bert-base-uncased,edurabsa,0.34978951396861846,0.27941866476004257,0.5314466414672978,0.43537255081799203,7
top50,42,distilbert-base-uncased,herath,0.34473398479913137,0.23021737747210771,0.587112419992464,0.3463115360181365,9
top50,42,distilbert-base-uncased,edurabsa,0.44081730385505624,0.3103012326817745,0.5350660535415064,0.4778200266022385,7
top50,17,bert-base-uncased,herath,0.3163522647029154,0.2396089548951689,0.5612156892289408,0.3313065411851253,9
top50,17,bert-base-uncased,edurabsa,0.3354529344313562,0.2550589082949062,0.5262744634405067,0.4906819516526467,7
top50,17,distilbert-base-uncased,herath,0.3465038590024191,0.2802951245035916,0.5959692322496869,0.3332632620875512,9
top50,17,distilbert-base-uncased,edurabsa,0.3867805493545569,0.28424471301361137,0.5337374407067876,0.5448750226928456,7
top50,23,bert-base-uncased,herath,0.38897037254326783,0.32951446334537837,0.617232234184417,0.3537479230472591,9
top50,23,bert-base-uncased,edurabsa,0.42493875137281406,0.2999051759363586,0.5284521649645239,0.6699882064302667,7
top50,23,distilbert-base-uncased,herath,0.37077844311377245,0.27701421056524916,0.6027270609323073,0.38069041350326976,9
top50,23,distilbert-base-uncased,edurabsa,0.3283582089552239,0.27492130746003024,0.5345558645574018,0.5022192269427023,7
top50,41,bert-base-uncased,herath,0.3572945779765232,0.27103177434227294,0.5882945026018063,0.3618337056115612,9
top50,41,bert-base-uncased,edurabsa,0.420518417462483,0.2777594225646667,0.5460063271536317,0.3870568963523965,7
top50,41,distilbert-base-uncased,herath,0.44506491693424544,0.2805166226882521,0.6058581895552339,0.36168454073586276,9
top50,41,distilbert-base-uncased,edurabsa,0.4323006983174767,0.306593590753773,0.5469809623372129,0.4553285890334451,7
top50,53,bert-base-uncased,herath,0.3549955352713563,0.31918110733120925,0.6091130048696899,0.4214835085365468,9
top50,53,bert-base-uncased,edurabsa,0.3626416568972255,0.28133764519244114,0.5471405261991337,0.4616593951134313,7
top50,53,distilbert-base-uncased,herath,0.2995934535598874,0.26529872740762545,0.5725214592773793,0.35130685342966034,9
top50,53,distilbert-base-uncased,edurabsa,0.4087825336129271,0.29928894017818325,0.5322277216245556,0.6192577560022218,7
top50,89,bert-base-uncased,herath,0.2901586643160842,0.21075574743145664,0.568699906871248,0.33323572607229673,9
top50,89,bert-base-uncased,edurabsa,0.37371404576947304,0.2635179601907547,0.5352103285389298,0.48220378312663104,7
top50,89,distilbert-base-uncased,herath,0.29294979264096005,0.255283085062669,0.575691050840816,0.31758624494551785,9
top50,89,distilbert-base-uncased,edurabsa,0.4771639843410178,0.29854233160275273,0.5353123223752286,0.5644131359474234,7
top50,101,bert-base-uncased,herath,0.37378362907842017,0.27488245977413367,0.5839240298311245,0.30256666987330233,9
top50,101,bert-base-uncased,edurabsa,0.4397905759162304,0.2811331978008278,0.5472445749142256,0.5578884467861783,7
top50,101,distilbert-base-uncased,herath,0.42473367299675774,0.2565470848178338,0.5828088955336708,0.3537287999138206,9
top50,101,distilbert-base-uncased,edurabsa,0.4301459377042039,0.3140755237002742,0.5448793739292958,0.6387962371984224,7
top50,137,bert-base-uncased,herath,0.26116282206933766,0.24254849316618227,0.5672299515639845,0.41458697541182243,9
top50,137,bert-base-uncased,edurabsa,0.40480688075238136,0.2874860240853683,0.5282754239093069,0.5056819100267557,7
top50,137,distilbert-base-uncased,herath,0.25164338537387015,0.22496776918095515,0.552536765724106,0.42771521882275065,9
top50,137,distilbert-base-uncased,edurabsa,0.4286201797292686,0.32581396989987416,0.5349740903885262,0.4998619434584573,7
full,42,bert-base-uncased,herath,0.3093083723348934,0.26639455422269825,0.5874348536615569,0.37812413331312295,9
